"日期","销量（升）","石化站价格","竞争站价格","价差"
2023-01-01,4617.91,,,
2023-01-02,4905.83,,,
2023-01-03,6221.59,,,
2023-01-04,4193.18,"7.75",,
2023-01-05,5610.62,"7.75",,
2023-01-06,5117.24,"7.75",7.55,0.20
2023-01-07,5716.37,"7.75",7.55,0.20
2023-01-08,4909.22,"7.75",7.55,0.20
2023-01-09,5918.11,"7.75",7.55,0.20
2023-01-10,5766.40,"7.75",7.55,0.20
2023-01-11,8936.45,"7.75",7.55,0.20
2023-01-12,7747.81,"7.75",7.55,0.20
2023-01-13,13027.58,"7.75",7.55,0.20
2023-01-14,16750.60,"7.75",7.55,0.20
2023-01-15,19890.29,"7.75",7.55,0.20
2023-01-16,14005.71,"7.75",7.55,0.20
2023-01-17,12478.91,"7.75",7.55,0.20
2023-01-18,13527.16,"7.59",7.39,0.20
2023-01-19,12520.47,"7.59",7.39,0.20
2023-01-20,11146.64,"7.59",7.39,0.20
2023-01-21,7626.88,"7.59",7.39,0.20
2023-01-22,4802.04,"7.59",7.39,0.20
2023-01-23,8084.19,"7.59",7.39,0.20
2023-01-24,8905.59,"7.59",7.39,0.20
2023-01-25,10836.12,"7.59",7.39,0.20
2023-01-26,11979.00,"7.59",7.39,0.20
2023-01-27,14954.06,"7.59",7.39,0.20
2023-01-28,9230.42,"7.59",7.39,0.20
2023-01-29,9659.23,"7.59",7.39,0.20
2023-01-30,8181.27,"7.59",7.39,0.20
2023-01-31,8776.87,"7.59",7.39,0.20
2023-02-01,8101.42,"7.59",7.39,0.20
2023-02-02,9144.25,"7.59",7.39,0.20
2023-02-03,8229.78,"7.59",7.39,0.20
2023-02-04,5542.90,"7.76",7.56,0.20
2023-02-05,6308.18,"7.76",7.56,0.20
2023-02-06,8166.70,"7.76",7.56,0.20
2023-02-07,7759.96,"7.76",7.56,0.20
2023-02-08,7303.44,"7.76",7.56,0.20
2023-02-09,5612.08,"7.76",7.56,0.20
2023-02-10,5789.39,"7.76",7.56,0.20
2023-02-11,5617.20,"7.76",7.56,0.20
2023-02-12,5666.78,"7.76",7.56,0.20
2023-02-13,4961.27,"7.76",7.56,0.20
2023-02-14,6387.55,"7.76",7.56,0.20
2023-02-15,5241.99,"7.76",7.56,0.20
2023-02-16,6560.68,"7.76",7.56,0.20
2023-02-17,5984.64,"7.76",7.56,0.20
2023-02-18,6345.49,"7.76",7.56,0.20
2023-02-19,5419.03,"7.76",7.56,0.20
2023-02-20,6491.05,"7.76",7.56,0.20
2023-02-21,6179.41,"7.76",7.56,0.20
2023-02-22,6353.73,"7.76",7.56,0.20
2023-02-23,5193.84,"7.76",7.56,0.20
2023-02-24,6278.22,"7.76",7.56,0.20
2023-02-25,5397.81,"7.76",7.56,0.20
2023-02-26,5110.29,"7.76",7.56,0.20
2023-02-27,5446.20,"7.76",7.56,0.20
2023-02-28,5867.88,"7.76",7.56,0.20
2023-03-01,4971.94,"7.76",7.56,0.20
2023-03-02,4970.61,"7.76",7.56,0.20
2023-03-03,5307.89,"7.76",7.56,0.20
2023-03-04,5041.23,"7.76",7.56,0.20
2023-03-05,4535.02,"7.76",7.56,0.20
2023-03-06,5596.04,"7.76",7.56,0.20
2023-03-07,4403.80,"7.76",7.56,0.20
2023-03-08,4501.01,"7.76",7.56,0.20
2023-03-09,5029.50,"7.76",7.56,0.20
2023-03-10,5880.33,"7.76",7.56,0.20
2023-03-11,4971.73,"7.76",7.56,0.20
2023-03-12,4776.79,"7.76",7.56,0.20
2023-03-13,5437.91,"7.76",7.56,0.20
2023-03-14,5196.20,"7.76",7.56,0.20
2023-03-15,5441.75,"7.76",7.56,0.20
2023-03-16,5603.37,"7.76",7.56,0.20
2023-03-17,5458.21,"7.76",7.56,0.20
2023-03-18,6357.02,"7.68",7.48,0.20
2023-03-19,4550.36,"7.68",7.48,0.20
2023-03-20,5632.77,"7.68",7.48,0.20
2023-03-21,4827.73,"7.68",7.48,0.20
2023-03-22,5043.00,"7.68",7.48,0.20
2023-03-23,6078.86,"7.68",7.48,0.20
2023-03-24,6074.27,"7.68",7.48,0.20
2023-03-25,5269.95,"7.68",7.48,0.20
2023-03-26,5448.55,"7.68",7.48,0.20
2023-03-27,6111.20,"7.68",7.48,0.20
2023-03-28,5051.67,"7.68",7.48,0.20
2023-03-29,4934.94,"7.68",7.48,0.20
2023-03-30,4178.11,"7.68",7.48,0.20
2023-03-31,5661.37,"7.68",7.48,0.20
2023-04-01,7402.21,"7.41",7.21,0.20
2023-04-02,8808.41,"7.41",7.21,0.20
2023-04-03,6639.33,"7.41",7.21,0.20
2023-04-04,5899.64,"7.41",7.21,0.20
2023-04-05,6933.75,"7.41",7.21,0.20
2023-04-06,6261.88,"7.41",7.21,0.20
2023-04-07,5383.60,"7.41",7.21,0.20
2023-04-08,5937.77,"7.41",7.21,0.20
2023-04-09,4398.04,"7.41",7.21,0.20
2023-04-10,5173.25,"7.41",7.21,0.20
2023-04-11,5250.75,"7.41",7.21,0.20
2023-04-12,4681.59,"7.41",7.21,0.20
2023-04-13,4874.48,"7.41",7.21,0.20
2023-04-14,4917.30,"7.41",7.21,0.20
2023-04-15,6165.69,"7.41",7.21,0.20
2023-04-16,5775.23,"7.41",7.21,0.20
2023-04-17,6774.66,"7.41",7.21,0.20
2023-04-18,5302.11,"7.85",7.65,0.20
2023-04-19,4779.56,"7.85",7.65,0.20
2023-04-20,4355.77,"7.85",7.65,0.20
2023-04-21,5278.83,"7.85",7.65,0.20
2023-04-22,4253.41,"7.85",7.65,0.20
2023-04-23,4321.09,"7.85",7.65,0.20
2023-04-24,4381.35,"7.85",7.65,0.20
2023-04-25,4688.60,"7.85",7.65,0.20
2023-04-26,5479.80,"7.85",7.65,0.20
2023-04-27,5852.45,"7.85",7.65,0.20
