date,city,order_cnt,amount,pay_amount,discountAmount,refuelLiters
2023-1-5,无锡分公司,54852,18263298.73,18263298.73,0,2348793.1
2023-1-5,江阴分公司,18781,6275721.5,6275721.5,0,872994.09
2023-1-5,泰州分公司,43744,12949446.93,12949446.93,0,1663651.37
2023-1-5,淮安分公司,34659,10576614.36,10576614.36,0,1369792.46
2023-1-5,盐城分公司,41253,12270299.49,12270299.49,0,1568530.16
2023-1-5,苏州分公司,101486,33754351.23,33754351.23,0,4351685.3
2023-1-5,连云港分公司,32614,9106694.37,9106694.37,0,1357057.76
2023-1-5,镇江分公司,31678,10064996.01,10064996.01,0,1302270.24
2023-1-5,高速石油公司,62963,22507384.31,22507384.31,0,2898249.66
2023-1-5,,6267,2110106.52,2110106.52,0,273553.67
2023-1-6,中石化壳牌合资公司,118508,37742883.05,37742883.05,0,4804638.98
2023-1-6,南京分公司,162902,49448444.88,49448489.88,45,6427099.52
2023-1-6,南通分公司,87822,26271671.11,26271671.11,0,3363770.55
2023-1-6,宿迁分公司,39354,10821000.65,10821000.65,0,1395181.99
2023-1-6,常州分公司,76268,24492829.01,24492829.01,0,3198810.69
2023-1-6,徐州分公司,71573,19483757.93,19483757.93,0,2619938.6
2023-1-6,扬州分公司,52446,15360755,15360772.95,17.95,1970887.64
2023-1-6,无锡分公司,71354,23353465.62,23353465.62,0,2994865.78
2023-1-6,江阴分公司,20222,6567613.52,6567613.52,0,884176.8
2023-1-6,泰州分公司,61572,17848021.35,17848035.05,13.7,2291065.32
2023-1-6,淮安分公司,44876,13112339.51,13112339.51,0,1689240.81
2023-1-6,盐城分公司,51636,15131957.91,15131957.91,0,1932808.3
2023-1-6,苏州分公司,134848,43843191.08,43843191.08,0,5627580.25
2023-1-6,连云港分公司,42314,11595923.72,11595923.72,0,1614782.37
2023-1-6,镇江分公司,40008,12332919.13,12332919.13,0,1591566.55
2023-1-6,高速石油公司,70346,25208653.98,25208653.98,0,3242524.43
2023-1-6,,8630,2694119.47,2694119.47,0,348200.58
2023-1-7,中石化壳牌合资公司,128763,39553754.23,39553754.23,0,5039889.85
2023-1-7,南京分公司,165350,49411326.03,49411394.4,68.37,6354638.71
2023-1-7,南通分公司,125043,36162729.81,36162729.81,0,4616908.13
2023-1-7,宿迁分公司,65076,16607334.54,16607334.54,0,2120975.94
2023-1-7,常州分公司,94482,29353184.47,29353184.47,0,3816757.08
2023-1-7,徐州分公司,76977,19930656.28,19930656.28,0,2570573.84
2023-1-7,扬州分公司,68296,18965209.6,18965263.6,54,2437050.47
2023-1-7,无锡分公司,86799,27024577.18,27024577.18,0,3463145.89
2023-1-7,江阴分公司,33732,10572345.67,10572345.67,0,1533832.75
2023-1-7,泰州分公司,66476,18959964.51,18959973.51,9,2435894.98
2023-1-7,淮安分公司,57356,16279058.81,16279058.81,0,2099070.76
2023-1-7,盐城分公司,64739,18212330.25,18212330.25,0,2323779.09
2023-1-7,苏州分公司,150013,46702069.07,46702069.07,0,5983973.7
2023-1-7,连云港分公司,43995,11866152.68,11866152.68,0,1694349.81
