date,date_day,order_cnt,amount,pay_amount,discountAmount,refuelLiters,进站加油车量（汽油）,进站加油车量（柴油）,进站率（汽油）,进站率（柴油）,站前车流量（汽油）,站前车流量（柴油）,path,text_day,text_night,high,low,wc_day,wd_day,wc_night,wd_night,week,holidays,60000361_price,60000361_price_other,60000361_order_cnt,60000361_refuelLiters,60000361_amount,60033428_price,60033428_price_other,60033428_order_cnt,60033428_refuelLiters,60033428_amount,60000359_price,60000359_price_other,60000359_order_cnt,60000359_refuelLiters,60000359_amount,60000304_price,60000304_price_other,60000304_order_cnt,60000304_refuelLiters,60000304_amount,60000305_price,60000305_price_other,60000305_order_cnt,60000305_refuelLiters,60000305_amount,60000312_price,60000312_price_other,60000312_order_cnt,60000312_refuelLiters,60000312_amount,60000313_price,60000313_price_other,60000313_order_cnt,60000313_refuelLiters,60000313_amount,60000317_price,60000317_price_other,60000317_order_cnt,60000317_refuelLiters,60000317_amount
2023/1/12,2023/1/12,338,143946.44,143946.44,0,19616.32,215,48,4.59,4.82,4682,996,"扬州,扬州市,江苏省,中国",小雨,小雨,18,10,3~4级,南风,<3级,北风,星期四,,,,0,,,7.41,[],32,4055.99,30054.34,7.41,"[5.07, 6.59, 6.60, 7.41]",64,8455.89,62656.86,,,0,,,7.75,"[5.49, 7.35, 7.75]",152,4206.65,32601.34,,,0,,,8.25,"[5.84, 7.55, 8.25]",50,1980.72,16341.26,,,0,,
2023/1/13,2023/1/13,392,133267.86,133267.86,0,18015.22,303,45,4.54,4.01,6668,1121,"扬州,扬州市,江苏省,中国",小雨,中雨,18,7,<3级,东风,<3级,东北风,星期五,,,,0,,,7.41,[],26,2214.79,16411.26,7.41,"[5.07, 6.59, 6.60, 7.41]",49,6550.7,48539.85,,,0,,,7.75,"[5.49, 7.35, 7.75]",198,5146.42,39884.11,,,0,,,8.25,"[5.84, 7.55, 8.25]",83,3150.04,26049.51,,,0,,
2023/1/14,2023/1/14,271,99161.65,99161.65,0,13412.66,195,33,4.52,4.26,4317,774,"扬州,扬州市,江苏省,中国",雨夹雪,雨夹雪,6,-3,3~4级,北风,<3级,北风,星期六,,,,0,,,7.41,[],13,1176.44,8717.25,7.41,"[5.07, 6.59, 6.60, 7.41]",34,5263.81,39004.34,,,0,,,7.75,"[5.49, 7.35, 7.75]",145,4064.39,31498.5,,,0,,,8.25,"[5.84, 7.55, 8.25]",54,2203.65,18180.65,,,0,,
2023/1/15,2023/1/15,340,121748.74,121748.74,0,16205.18,256,37,5.41,4.7,4730,787,"扬州,扬州市,江苏省,中国",多云,多云,0,-6,3~4级,北风,<3级,西北风,星期日,,,,0,,,7.41,[],16,1513.42,11214.23,7.41,"[5.07, 6.59, 6.60, 7.41]",55,6136.06,45467.2,,,0,,,7.75,"[5.49, 7.35, 7.75]",178,5136.3,39806,,,0,,,8.25,"[5.84, 7.55, 8.25]",72,2906.47,23978.99,,,0,,
2023/1/16,2023/1/16,321,98448.82,98448.82,0,12908.29,205,38,5.04,5.63,4067,676,"扬州,扬州市,江苏省,中国",多云,晴,3,-5,<3级,北风,<3级,西风,星期一,,,,0,,,7.41,[],17,1957.36,14503.91,7.41,"[5.07, 6.59, 6.60, 7.41]",25,2079.78,15410.58,,,0,,,7.75,"[5.49, 7.35, 7.75]",184,5384.19,41727.39,,,0,,,8.25,"[5.84, 7.55, 8.25]",78,3145.94,25954.43,,,0,,
2023/1/17,2023/1/17,256,79322.51,79322.51,0,10425.15,200,34,5.67,7.04,3526,483,"扬州,扬州市,江苏省,中国",晴,多云,5,-3,<3级,西风,<3级,西北风,星期二,,,,0,,,7.41,[],14,1323.8,9809.17,7.41,"[5.07, 6.59, 6.60, 7.41]",19,1986.49,14719.71,,,0,,,7.75,"[5.49, 7.35, 7.75]",148,4389.61,34018.85,,,0,,,8.25,"[5.84, 7.55, 8.25]",62,2428.03,20031.74,,,0,,
2023/1/18,2023/1/18,249,80133.97,80133.97,0,10698.18,193,25,5.98,6.36,3225,394,"扬州,扬州市,江苏省,中国",多云,多云,7,-1,3~4级,西北风,<3级,西南风,星期三,,,,0,,,7.24,[],10,859.78,6224.52,7.24,"[5.07, 6.59, 6.60, 7.24]",18,2160.32,15640.37,,,0,,,7.59,"[5.49, 7.19, 7.59]",143,4606.26,34960.75,,,0,,,8.07,"[5.84, 7.57, 8.07]",69,2805.82,22643.33,,,0,,
2023/1/19,2023/1/19,243,66458.26,66458.26,0,8854.58,186,22,6.73,9.28,2766,237,"扬州,扬州市,江苏省,中国",晴,晴,11,-1,3~4级,西风,<3级,北风,星期四,,,,0,,,7.24,[],11,650.15,4706.89,7.24,"[5.07, 6.59, 6.60, 7.24]",15,1309.19,9478.27,,,0,,,7.59,"[5.49, 7.19, 7.59]",157,4678.9,35512.36,,,0,,,8.07,"[5.84, 7.57, 8.07]",54,2014.27,16255.57,,,0,,
2023/1/20,2023/1/20,302,75690.12,75690.12,0,9829.94,199,4,8.77,3.51,2270,114,"扬州,扬州市,江苏省,中国",晴,多云,8,-1,3~4级,东北风,<3级,东南风,星期五,,,,0,,,7.24,[],3,243.92,1765.93,7.24,"[5.07, 6.59, 6.60, 7.24]",3,225.28,1631,,,0,,,7.59,"[5.49, 7.19, 7.59]",213,5860.14,44477.34,,,0,,,8.07,"[5.84, 7.57, 8.07]",80,3422.59,27620.83,,,0,,
2023/1/21,2023/1/21,253,63835.02,63835.02,0,8288.1,172,6,12.17,16.22,1413,37,"扬州,扬州市,江苏省,中国",多云,中雨,10,4,3~4级,东南风,<3级,东北风,星期六,,,,0,,,7.24,[],2,81.75,591.82,7.24,"[5.07, 6.59, 6.60, 7.24]",12,595.48,4311.22,,,0,,,7.59,"[5.49, 7.19, 7.59]",172,4982.68,37817.94,,,0,,,8.07,"[5.84, 7.57, 8.07]",66,2610.99,21071.04,,,0,,
