"日期","0号柴油销量（升）","0号柴油价差","石化站价格","竞争站价格"
2023-01-01,2111.49,2.08,"7.20",5.12
2023-01-02,2907.40,2.08,"7.20",5.12
2023-01-03,9766.84,2.08,"7.20",5.12
2023-01-04,4641.30,2.29,"7.41",5.12
2023-01-05,4234.40,2.29,"7.41",5.12
2023-01-06,4035.44,2.29,"7.41",5.12
2023-01-07,5773.91,2.29,"7.41",5.12
2023-01-08,4550.22,2.29,"7.41",5.12
2023-01-09,6595.96,2.29,"7.41",5.12
2023-01-10,3813.04,2.29,"7.41",5.12
2023-01-11,4831.01,2.29,"7.41",5.12
2023-01-12,3268.87,2.29,"7.41",5.12
2023-01-13,3656.92,2.29,"7.41",5.12
2023-01-14,2797.13,2.29,"7.41",5.12
2023-01-15,2051.52,2.29,"7.41",5.12
2023-01-16,2911.17,2.29,"7.41",5.12
2023-01-17,908.88,2.29,"7.41",5.12
2023-01-18,1929.08,2.12,"7.24",5.12
2023-01-19,673.13,2.12,"7.24",5.12
2023-01-20,1027.88,2.12,"7.24",5.12
2023-01-21,381.12,2.12,"7.24",5.12
2023-01-22,342.47,2.12,"7.24",5.12
2023-01-23,195.07,2.12,"7.24",5.12
2023-01-24,375.51,2.12,"7.24",5.12
2023-01-25,404.81,2.12,"7.24",5.12
2023-01-26,1151.08,2.12,"7.24",5.12
2023-01-27,1450.52,2.12,"7.24",5.12
2023-01-28,1544.65,2.12,"7.24",5.12
2023-01-29,2048.39,2.12,"7.24",5.12
2023-01-30,2437.53,2.12,"7.24",5.12
2023-01-31,2117.62,2.12,"7.24",5.12
2023-02-01,3791.49,2.12,"7.24",5.12
2023-02-02,3051.89,2.12,"7.24",5.12
2023-02-03,5883.33,2.12,"7.24",5.12
2023-02-04,2325.51,2.29,"7.41",5.12
2023-02-05,2025.04,2.29,"7.41",5.12
2023-02-06,3359.12,2.29,"7.41",5.12
2023-02-07,5049.37,2.29,"7.41",5.12
2023-02-08,2679.26,2.29,"7.41",5.12
2023-02-09,2818.68,2.29,"7.41",5.12
2023-02-10,3868.33,2.29,"7.41",5.12
2023-02-11,1635.67,2.29,"7.41",5.12
2023-02-12,3311.03,2.29,"7.41",5.12
2023-02-13,2942.88,2.29,"7.41",5.12
2023-02-14,3589.78,2.29,"7.41",5.12
2023-02-15,2948.04,2.29,"7.41",5.12
2023-02-16,4533.62,2.29,"7.41",5.12
2023-02-17,3784.86,2.29,"7.41",5.12
2023-02-18,2176.30,2.29,"7.41",5.12
2023-02-19,985.66,2.29,"7.41",5.12
2023-02-20,2863.55,2.29,"7.41",5.12
2023-02-21,2664.82,2.29,"7.41",5.12
2023-02-22,4651.86,2.29,"7.41",5.12
2023-02-23,1939.95,2.29,"7.41",5.12
2023-02-24,3965.15,2.29,"7.41",5.12
2023-02-25,2217.00,2.29,"7.41",5.12
2023-02-26,1356.96,2.29,"7.41",5.12
2023-02-27,2755.51,2.29,"7.41",5.12
2023-02-28,1779.77,2.29,"7.41",5.12
2023-03-01,2716.54,2.29,"7.41",5.12
2023-03-02,3099.93,2.29,"7.41",5.12
2023-03-03,3135.49,2.29,"7.41",5.12
2023-03-04,3966.68,2.29,"7.41",5.12
2023-03-05,990.81,2.29,"7.41",5.12
2023-03-06,3465.96,2.29,"7.41",5.12
2023-03-07,1885.61,2.29,"7.41",5.12
2023-03-08,2475.25,2.29,"7.41",5.12
2023-03-09,3146.93,2.29,"7.41",5.12
2023-03-10,2847.73,2.29,"7.41",5.12
2023-03-11,3152.29,2.29,"7.41",5.12
2023-03-12,1510.48,2.29,"7.41",5.12
2023-03-13,2606.73,2.29,"7.41",5.12
2023-03-14,2729.51,2.29,"7.41",5.12
2023-03-15,4018.40,2.29,"7.41",5.12
2023-03-16,2194.66,2.29,"7.41",5.12
2023-03-17,3238.01,2.29,"7.41",5.12
2023-03-18,1914.63,2.21,"7.33",5.12
2023-03-19,2115.46,2.21,"7.33",5.12
2023-03-20,3108.75,2.21,"7.33",5.12
2023-03-21,4394.42,2.21,"7.33",5.12
2023-03-22,2665.36,2.21,"7.33",5.12
2023-03-23,3701.11,2.21,"7.33",5.12
2023-03-24,2828.13,2.21,"7.33",5.12
2023-03-25,2824.86,2.21,"7.33",5.12
2023-03-26,2061.86,2.21,"7.33",5.12
2023-03-27,2650.36,2.21,"7.33",5.12
2023-03-28,2167.48,2.21,"7.33",5.12
2023-03-29,2131.56,2.21,"7.33",5.12
2023-03-30,3012.86,2.21,"7.33",5.12
2023-03-31,1923.47,2.21,"7.33",5.12
2023-04-01,3437.29,1.94,"7.06",5.12
2023-04-02,3105.44,1.94,"7.06",5.12
2023-04-03,3618.12,1.94,"7.06",5.12
