日期,32801309-进站加油车量（汽油）,32801309-进站加油车量（柴油）,32801309-进站率（汽油）,32801309-进站率（柴油）,32801309-站前车流量（汽油）,32801309-站前车流量（柴油）,32801817-进站加油车量（汽油）,32801817-进站加油车量（柴油）,32801817-进站率（汽油）,32801817-进站率（柴油）,32801817-站前车流量（汽油）,32801817-站前车流量（柴油）,32807333-进站加油车量（汽油）,32807333-进站加油车量（柴油）,32807333-进站率（汽油）,32807333-进站率（柴油）,32807333-站前车流量（汽油）,32807333-站前车流量（柴油）
20230924,144,33,2.57,4.26,5605,774,206,8,5.67,6.3,3634,127,66,2,3.15,0.9,2092,222
20230925,171,35,2.75,3.78,6224,924,213,19,5.55,11.24,3839,170,75,13,3.36,4.73,2231,274
20230926,176,38,2.81,3.63,6271,1046,200,10,5.18,5.71,3864,176,79,10,3.22,3.26,2449,307
20230927,212,37,3.17,3.99,6684,928,247,13,6.11,6.91,4039,187,83,9,3.53,3.45,2355,261
20230928,467,43,4.12,4.12,11343,1044,352,14,6.47,7.25,5445,193,109,11,3.51,4.25,3109,259
20230929,888,53,4.86,6,18289,884,387,18,6.44,7.53,6010,239,75,7,2.43,4.67,3088,151
20230930,198,6,3.79,1.6,5225,374,242,5,5.86,5.62,4130,89,69,4,3.33,3.6,2073,112
20231001,219,11,4.16,3.5,5269,315,240,14,5.52,17.28,4346,81,76,5,2.16,4.39,3518,114
20231002,191,6,3.44,1.58,5547,378,217,11,5.04,10.78,4310,102,60,5,1.76,3.38,3408,149
20231003,186,18,1.96,3.15,9492,571,222,11,4.89,9.24,4537,120,80,7,3.22,3.57,2486,197
20231004,174,31,1.79,4.11,9739,755,256,16,4.83,9.36,5300,172,58,4,1.95,1.7,2968,235
20231005,196,23,2.54,2.99,7705,770,204,12,4.94,8,4130,151,64,6,2.59,2.88,2472,208
20231006,182,31,3.14,4.15,5804,747,230,9,5.91,6.72,3889,133,68,7,2.82,2.68,2411,261
20231007,208,31,3.72,4.58,5583,677,182,11,5.1,7.53,3571,147,53,9,2.5,3.47,2115,259
20231008,178,32,2.93,3.6,6080,890,208,11,5.42,6.32,3839,174,64,16,2.72,6.06,2351,264
20231009,185,41,3.01,4.82,6147,851,182,9,4.66,5.33,3908,170,74,7,3.2,2.54,2316,276
20231010,208,26,3.4,2.95,6122,882,160,11,4.11,6.63,3891,166,55,8,2.44,2.4,2250,334
20231011,220,48,3.62,5.01,6070,959,220,19,5.56,9.74,3957,195,69,9,2.67,2.52,2588,357
20231012,211,29,3.59,3.21,5883,903,190,8,5.1,5.37,3725,149,60,7,2.61,2.1,2299,334
20231013,228,36,3.54,3.71,6438,971,239,14,5.8,9.86,4121,143,61,5,2.42,1.39,2519,361
20231014,229,36,3.72,4.1,6149,878,207,7,5.43,4.96,3810,141,63,5,2.5,1.61,2524,311
20231015,214,28,3.58,3.79,5975,739,240,16,5.94,12.12,4041,131,70,7,2.39,2.47,2930,284
20231016,260,63,4.21,7.02,6172,897,308,14,7.96,10,3870,141,71,10,2.65,2.77,2685,361
20231017,221,32,3.65,3.32,6058,963,244,9,6.37,5.73,3831,156,58,11,2.36,2.91,2459,378
20231018,218,42,3.61,4.33,6041,969,227,12,6.07,8.05,3742,149,66,13,2.75,3.8,2395,342
20231019,198,30,3.29,3.19,6024,942,214,11,5.7,7.19,3752,152,55,12,2.3,3.81,2391,315
20231020,220,47,3.5,5.11,6294,919,282,10,6.64,7.63,4246,131,68,3,2.75,1.03,2474,291
20231021,219,29,3.48,3.32,6290,872,238,13,6.11,8.33,3897,156,62,8,2.51,2.71,2472,295
20231022,195,26,3.15,3.53,6191,735,270,11,6.2,9.48,4358,116,53,4,2.03,1.61,2617,249
20231023,181,35,2.91,3.78,6211,926,224,16,5.67,11.11,3953,145,45,3,1.81,1.03,2482,291
20231024,189,42,3.11,4.29,6078,980,218,9,5.83,6.52,3742,139,48,5,2.06,1.6,2328,313
20231025,257,54,4.13,5.58,6222,969,279,13,7.33,8.61,3804,151,52,13,2.13,3.99,2440,326
20231026,212,35,3.45,3.71,6151,944,264,15,6.75,10.2,3914,147,40,2,1.78,0.72,2250,278
20231027,239,43,3.68,4.72,6493,911,295,7,6.86,5.56,4300,125,59,4,2.35,1.18,2507,340
20231028,196,39,3.21,4.8,6105,813,283,18,6.65,10.17,4256,178,55,7,2.12,2.51,2594,280
20231029,196,33,3.13,4.95,6267,668,322,11,6.95,8.94,4636,124,63,2,2.25,0.9,2804,222
20231030,182,23,2.95,2.64,6176,872,284,11,6.89,7.19,4119,152,60,6,2.59,2.27,2316,264
20231031,235,32,3.74,3.62,6282,884,273,14,6.75,10.45,4045,133,72,8,2.69,2.48,2673,322
20231101,219,37,3.61,4.32,6072,857,303,18,7,11.39,4325,158,57,5,2.28,1.92,2495,261
20231102,222,28,3.52,3.32,6311,843,240,11,5.86,8.33,4097,131,61,8,2.46,2.88,2484,278
20231103,240,46,3.76,5.05,6375,911,324,13,7.32,8.97,4424,145,69,13,2.62,3.86,2633,338
20231104,209,29,3.41,3.84,6132,755,231,14,5.63,10.07,4105,139,69,10,2.65,3.52,2604,284
20231105,188,27,3.25,4.4,5776,614,276,9,6.49,8.11,4254,112,51,8,2.03,3.49,2509,230
20231106,193,36,3.09,4.4,6244,818,276,12,6.69,8,4124,151,71,10,3.22,3.97,2202,253
20231107,215,33,3.36,3.42,6390,963,265,12,6.41,8,4138,151,63,6,2.6,1.89,2424,318
20231108,208,35,3.3,3.87,6296,903,254,16,6.55,11.76,3877,135,54,9,2.26,3.21,2393,280
20231109,223,37,3.63,4.55,6141,814,242,13,6.7,9.35,3611,139,66,6,2.75,2.26,2403,264
20231110,198,31,3.08,3.54,6435,874,213,11,5.77,8.53,3690,129,54,4,2.15,1.38,2505,290
20231111,195,23,3.1,2.96,6288,778,253,5,7.42,4.46,3410,112,37,4,1.49,1.47,2478,272
20231112,213,21,3.55,3.45,5995,610,284,8,7.77,8.16,3653,98,62,8,2.51,3.28,2467,243
20231113,196,27,3.07,3.31,6381,814,263,12,7.83,9.23,3356,129,51,5,1.95,1.63,2615,307
20231114,219,33,3.47,4,6307,826,258,16,7.79,11.11,3314,145,46,4,2.01,1.5,2293,266
20231115,183,29,2.91,3.16,6282,917,251,14,7.95,10.77,3156,129,57,9,2.25,3.09,2532,291
20231116,200,46,3.23,5.41,6186,849,231,14,7.31,10.53,3159,133,60,5,2.47,2.06,2430,243
20231117,211,27,3.15,3.2,6709,843,230,9,7,7.76,3287,116,59,4,2.26,1.5,2609,266
20231118,222,27,3.51,3.78,6321,714,253,7,7.87,7.78,3215,91,57,5,2.24,2.08,2548,239
20231119,235,31,3.61,4.56,6500,679,242,4,7.57,4.82,3196,83,40,1,1.53,0.44,2615,226
20231120,207,33,3.17,3.72,6521,888,223,8,7.27,6.56,3067,122,46,8,1.93,3.01,2384,266
20231121,211,40,3.43,4.56,6159,878,225,12,7.66,8.45,2937,143,45,4,1.93,1.45,2331,276
20231122,239,50,3.78,5.85,6315,855,261,8,8.48,5.84,3078,137,57,5,2.34,1.86,2436,268
20231123,220,35,3.56,4.17,6186,840,231,7,7.76,4.73,2976,149,45,2,1.91,0.76,2353,264
20231124,232,29,3.63,3.57,6384,813,271,14,8.1,9.86,3345,143,57,2,2.23,0.71,2555,280
20231125,244,32,4.04,4.37,6043,733,268,10,8.75,8.93,3063,112,46,3,1.77,1.11,2606,270
20231126,219,21,3.68,3.5,5958,600,231,9,6.79,8.41,3403,106,60,2,2.42,0.83,2478,241
20231127,231,28,3.87,3.18,5966,880,264,8,9.76,6.84,2704,118,38,7,1.63,2.3,2337,305
20231128,235,35,3.55,3.85,6620,907,238,12,7.84,8.22,3034,147,53,5,1.94,1.62,2729,309
20231129,217,30,3.58,3.5,6066,857,262,16,9.02,11.03,2905,145,48,5,1.82,1.57,2631,318
20231130,215,30,3.45,3.75,6234,801,265,12,9.41,9.02,2818,133,37,8,1.57,3.15,2355,255
20231201,246,33,3.74,3.88,6572,849,268,10,8.59,6.41,3121,156,52,3,1.93,0.96,2692,313
20231202,204,27,3.29,3.68,6193,733,287,9,9.66,6.67,2970,135,50,3,2.01,1.21,2488,247
20231203,213,26,3.42,3.89,6220,670,242,14,8.12,11.38,2980,124,34,4,1.26,1.57,2708,255
20231204,237,32,3.74,3.97,6336,807,226,5,7.86,4.07,2876,124,60,4,2.37,1.31,2534,307
20231205,205,37,3.31,4.13,6193,896,215,15,7.69,9.93,2797,151,55,1,2.34,0.32,2347,309
20231206,201,37,3.24,3.88,6213,953,236,5,8.29,4.42,2849,114,54,10,2.22,3.46,2434,290
20231207,197,44,3.18,4.7,6195,936,192,11,7.12,8.33,2696,131,62,5,2.49,1.54,2492,324
20231208,194,35,2.94,3.83,6603,913,235,14,8.49,9.66,2768,145,54,2,1.97,0.7,2739,288
20231209,200,38,3.22,4.77,6217,797,223,8,8.48,7.02,2631,114,51,3,1.95,1.07,2613,282
20231210,181,21,3.16,3.35,5736,627,176,12,6.84,10.62,2573,114,53,6,2.22,2.53,2384,237
20231211,172,30,2.86,3.92,6004,766,181,10,7.06,8.4,2565,120,57,5,2.52,1.92,2258,261
20231212,235,27,3.9,3.27,6020,824,214,6,8.13,4.62,2631,129,76,6,3.21,2.2,2366,272
20231213,219,31,3.53,3.68,6203,843,192,8,7.33,6.67,2621,120,57,2,2.29,0.66,2490,305
20231214,238,44,3.74,4.63,6363,951,230,9,9.24,7.89,2488,114,55,2,2.31,0.77,2384,261
20231215,205,31,3.48,4.1,5892,757,226,9,9.02,8.65,2505,104,70,6,2.99,2.58,2341,234
20231216,232,26,4.14,3.85,5607,676,220,11,9.15,11.34,2405,97,54,8,2.24,3.15,2407,255
20231217,197,23,3.55,3.55,5543,647,194,15,7.29,17.05,2660,89,46,1,2.02,0.43,2275,232
20231218,197,29,3.76,3.8,5238,764,183,7,7.82,7,2341,100,57,3,2.84,1.46,2005,205
20231219,204,40,3.8,4.75,5369,841,168,9,7.78,9.28,2160,97,48,6,2.32,2.13,2067,282
20231220,235,44,3.74,4.85,6282,907,234,5,8.72,4.9,2683,102,62,7,2.73,2.76,2268,255
20231221,280,34,4.36,3.85,6427,884,256,4,10.02,3.96,2553,100,57,9,2.27,2.9,2513,311
20231222,272,38,4.35,4.4,6251,863,245,13,9.13,10.74,2683,122,59,7,2.53,2.41,2330,290
20231223,195,41,3.19,4.77,6116,859,207,12,7.92,11.11,2613,108,45,0,1.88,0,2397,270
20231224,233,19,3.94,2.75,5914,693,258,3,9.69,2.75,2663,108,34,4,1.44,1.71,2368,234
20231225,214,36,3.28,4.01,6529,897,234,11,8.55,9.73,2737,114,36,4,1.42,1.27,2536,315
20231226,191,35,2.97,3.52,6427,996,209,5,7.78,4.55,2687,110,37,7,1.49,2.49,2480,282
20231227,212,37,3.31,3.89,6400,951,230,10,8.42,6.94,2733,145,46,1,1.84,0.32,2494,309
20231228,270,44,3.53,4.22,7643,1042,208,17,7.13,12.14,2918,141,50,2,1.59,0.64,3146,313
20231229,215,37,2.68,3.5,8033,1058,269,9,7.59,6.92,3542,129,41,5,1.36,1.41,3020,355
20231230,228,35,3.39,4.51,6718,776,222,13,6.82,11.02,3258,118,52,4,2.07,1.74,2507,230
20231231,222,20,3.6,3.28,6164,610,293,13,8.59,13.27,3408,98,33,2,1.26,0.98,2627,205
