"dt","etp_area","is_hn","is_on_line","amt","discount_amount","pay_amount","num"
2024-04-07,"1",2,2,18646492.92,3222260.4012,18280593.24,42062.20
2024-04-07,"4",2,2,2172765.54,1759766.5400,2216808.85,2580.58
2024-04-07,"4",2,1,1585834.93,1585834.9300,1535017.95,3562.00
2024-04-07,"1",1,1,20125261.12,7159760.0800,16396275.02,35250.00
2024-04-07,"1",1,2,52730888.39,53037270.1500,50524275.39,33714.00
2024-04-07,"1",2,1,5688381.93,2803995.7500,5564625.70,15008.00
2024-04-06,"1",2,2,17689802.98,3269302.4161,17364597.62,40656.60
2024-04-06,"1",2,1,6374653.61,3266962.4900,6251153.61,17845.00
2024-04-06,"1",1,1,21543662.34,9071596.1600,17821570.92,36995.00
2024-04-06,"1",1,2,69241062.37,69445999.4000,65953213.37,42098.00
2024-04-06,"4",2,1,5418371.62,5418371.6200,5246227.34,14878.00
2024-04-06,"4",2,2,2754619.48,2014107.9800,2675216.68,2923.50
2024-04-05,"1",2,2,18384746.36,2978782.3698,18013311.81,43573.50
2024-04-05,"1",1,1,24317119.18,11685563.6300,20033922.75,39963.00
2024-04-05,"1",2,1,10110345.63,4777942.1100,9935360.63,26307.00
2024-04-05,"1",1,2,75985141.06,76527187.8700,72897980.06,44157.00
2024-04-05,"4",2,2,2841722.17,2113501.1700,2690672.16,3476.28
2024-04-05,"4",2,1,4511193.44,4511193.4400,4379033.68,12668.00
2024-04-04,"1",2,1,8758999.36,4246315.4200,8602636.43,24436.00
2024-04-04,"1",1,1,24322284.58,10791292.6000,19709549.50,41731.00
2024-04-04,"4",2,2,2709122.39,1929568.3900,2707878.90,2940.19
2024-04-04,"4",2,1,3996079.00,3996079.0000,3861393.71,11444.00
2024-04-04,"1",1,2,71275571.95,71403366.3400,68285071.95,43257.00
2024-04-04,"1",2,2,13478020.93,2185331.2372,13190560.18,27499.30
2024-04-03,"1",1,1,27561501.22,11560377.5500,21468445.93,51655.00
2024-04-03,"1",2,2,17537348.74,2746309.7587,17179390.91,38722.00
2024-04-03,"4",2,2,1985668.48,1673117.4800,1926349.83,2201.00
2024-04-03,"4",2,1,7382640.21,7382640.2100,7222852.59,14316.00
2024-04-03,"1",1,2,56224886.12,56468424.4100,53824028.12,39729.00
2024-04-03,"1",2,1,8322119.48,3899560.3000,8173146.50,23267.00
2024-04-02,"4",2,1,5145425.48,5145425.4800,4971222.89,13562.00
2024-04-02,"1",1,1,22740394.12,10284681.9000,18665236.09,38957.00
2024-04-02,"1",2,1,9016674.79,4130737.3100,8806480.32,25248.00
2024-04-02,"1",2,2,21698405.48,2312967.3139,21349237.86,54403.00
2024-04-02,"4",2,2,1824825.08,1330405.5800,1816707.74,1941.00
2024-04-02,"1",1,2,48500892.83,48762357.3500,47068228.83,35225.00
2024-04-01,"4",2,1,6233465.18,6233465.1800,5963252.78,18926.00
2024-04-01,"1",1,1,36777717.94,13357689.7300,28502581.80,57040.00
2024-04-01,"1",2,2,22443260.84,2910662.9168,21995565.57,59819.70
2024-04-01,"1",1,2,80056551.61,81554226.9000,78421352.61,40390.00
2024-04-01,"1",2,1,8569161.93,3888786.5900,8370295.24,23879.00
2024-04-01,"4",2,2,2266986.31,1949860.3100,2162925.83,2827.10
2024-03-31,"4",2,1,5536880.23,5536880.2300,5333274.25,17075.00
2024-03-31,"1",1,2,70158466.85,70512763.9200,66740932.85,44047.00
2024-03-31,"1",2,2,15907907.81,3737262.8481,15756539.62,34237.30
2024-03-31,"4",2,2,3046155.99,1989952.4900,2915548.08,3360.24
2024-03-31,"1",2,1,10827876.75,5468812.2900,10618714.13,32405.00
2024-03-31,"1",1,1,19136940.64,7472190.7500,15914069.06,32693.00
2024-03-30,"4",2,1,5689060.54,5689060.5400,5482210.24,16798.00
2024-03-30,"1",1,1,21083647.11,8869545.5800,17499666.82,36042.00
2024-03-30,"1",1,2,74586231.73,74888972.6700,70705746.73,49487.00
2024-03-30,"4",2,2,4312316.92,2558751.3000,4002712.23,4665.67
2024-03-30,"1",2,1,11069753.63,5597286.8900,10859486.63,31905.00
2024-03-30,"1",2,2,15586693.21,3152810.0648,15401769.89,34240.00
2024-03-29,"1",1,1,26078636.06,9577826.3000,20723464.46,43529.00
2024-03-29,"1",2,2,15979350.20,3295082.3846,15859454.24,30611.30
2024-03-29,"1",2,1,10698159.27,5557672.7300,10495851.83,31795.00
2024-03-29,"1",1,2,88148079.25,88716271.9000,83235089.25,53164.00
2024-03-29,"4",2,2,8256484.34,8126795.3400,7558028.83,15679.90
2024-03-29,"4",2,1,5659210.75,5659210.7500,5460144.03,16768.00
2024-03-28,"1",1,1,18970982.15,7653558.3700,15931961.51,35027.00
2024-03-28,"1",2,1,11551571.95,5911813.0700,11333743.41,33670.00
2024-03-28,"4",2,2,2461674.91,1677281.4100,2346697.78,2609.20
2024-03-28,"1",2,2,14281501.07,2583165.4448,14190742.62,30948.20
2024-03-28,"1",1,2,64345363.86,64504903.7100,61685209.86,46686.00
2024-03-28,"4",2,1,7878811.06,7878811.0600,7637494.41,20594.00
2024-03-27,"1",2,2,14874231.52,3030385.2548,14724479.50,37260.20
2024-03-27,"4",2,2,2135390.11,1477012.1100,2033898.29,2504.60
2024-03-27,"1",1,1,19299879.75,7806355.7700,16300102.60,35770.00
2024-03-27,"1",1,2,67344790.77,67734092.0800,64111314.77,45484.00
2024-03-27,"4",2,1,8221611.94,8221611.9400,7927685.80,23876.00
2024-03-27,"1",2,1,12705250.04,6522716.9400,12446698.15,37030.00
2024-03-26,"1",1,1,20980584.45,7372708.2400,17279294.23,38681.00
2024-03-26,"4",2,2,2344465.00,1595823.5000,2235081.90,2081.30
2024-03-26,"4",2,1,13839993.78,13839993.7800,13422376.30,38048.00
2024-03-26,"1",1,2,71390305.84,71655252.8800,67401638.84,44172.00
2024-03-26,"1",2,1,12191941.22,6293334.2200,11962584.71,36046.00
2024-03-26,"1",2,2,16424912.50,2672287.8106,16273336.95,49364.70
2024-03-25,"1",2,1,11533363.03,5887439.4900,11328347.37,34608.00
2024-03-25,"1",1,2,56190617.50,56378429.8100,53723805.50,40488.00
2024-03-25,"4",2,1,7533353.09,7533353.0900,7240962.63,24201.00
2024-03-25,"1",2,2,17282181.78,3237514.7980,17123910.52,48027.00
2024-03-25,"1",1,1,15488072.05,6739778.2600,13154741.33,30285.00
2024-03-25,"4",2,2,2066255.83,1575927.3300,1969763.49,3251.94
2024-03-24,"1",1,2,73338922.82,73871109.5100,69953346.82,47153.00
2024-03-24,"4",2,2,3574068.12,2356118.7200,3445234.96,3888.33
2024-03-24,"4",2,1,4416253.44,4416253.4400,4222269.93,13750.00
