"日期","0号柴油销量（升）","0号柴油价差","石化站价格","竞争站价格"
2023-01-01,25905.09,0.00,"7.20",7.20
2023-01-02,34351.51,0.00,"7.20",7.20
2023-01-03,43698.26,0.00,"7.20",7.20
2023-01-04,2445.54,0.20,"7.41",7.21
2023-01-05,13239.69,0.00,"7.41",7.41
2023-01-06,18979.48,0.00,"7.41",7.41
2023-01-07,21316.58,0.00,"7.41",7.41
2023-01-08,14896.98,0.00,"7.41",7.41
2023-01-09,2822.43,0.00,"7.41",7.41
2023-01-10,4242.54,0.00,"7.41",7.41
2023-01-11,15966.65,0.00,"7.41",7.41
2023-01-12,3135.03,0.00,"7.41",7.41
2023-01-13,2931.93,0.00,"7.41",7.41
2023-01-14,14472.76,0.00,"7.41",7.41
2023-01-15,1358.90,0.00,"7.41",7.41
2023-01-16,6281.29,0.00,"7.41",7.41
2023-01-17,1204.45,0.00,"7.41",7.41
2023-01-18,14092.32,0.00,"7.24",7.24
2023-01-19,1766.51,0.00,"7.24",7.24
2023-01-20,554.10,0.00,"7.24",7.24
2023-01-21,497.11,0.00,"7.24",7.24
2023-01-22,41.44,0.00,"7.24",7.24
2023-01-23,103.87,0.00,"7.24",7.24
2023-01-24,286.83,0.00,"7.24",7.24
2023-01-25,646.19,0.00,"7.24",7.24
2023-01-26,353.37,0.00,"7.24",7.24
2023-01-27,415.21,0.00,"7.24",7.24
2023-01-28,904.69,0.00,"7.24",7.24
2023-01-29,26136.89,0.00,"7.24",7.24
2023-01-30,17268.87,0.00,"7.24",7.24
2023-01-31,2239.63,0.00,"7.24",7.24
2023-02-01,2502.92,0.00,"7.24",7.24
2023-02-02,31329.87,0.00,"7.24",7.24
2023-02-03,53197.20,0.00,"7.24",7.24
2023-02-04,2331.82,0.00,"7.41",7.41
2023-02-05,1406.08,0.00,"7.41",7.41
2023-02-06,2579.49,0.00,"7.41",7.41
2023-02-07,26004.31,0.00,"7.41",7.41
2023-02-08,26384.72,0.00,"7.41",7.41
2023-02-09,11222.61,0.00,"7.41",7.41
2023-02-10,3295.16,0.00,"7.41",7.41
2023-02-11,2089.33,0.00,"7.41",7.41
2023-02-12,1079.37,0.00,"7.41",7.41
2023-02-13,3901.13,0.00,"7.41",7.41
2023-02-14,23365.75,0.00,"7.41",7.41
2023-02-15,3658.63,0.00,"7.41",7.41
2023-02-16,16593.16,0.00,"7.41",7.41
2023-02-17,3712.26,0.00,"7.41",7.41
2023-02-18,28435.36,0.00,"7.41",7.41
2023-02-19,1223.14,0.00,"7.41",7.41
2023-02-20,45550.48,0.00,"7.41",7.41
2023-02-21,2806.70,0.00,"7.41",7.41
2023-02-22,26651.27,0.00,"7.41",7.41
2023-02-23,4566.38,0.00,"7.41",7.41
2023-02-24,2198.78,0.00,"7.41",7.41
2023-02-25,29089.58,0.00,"7.41",7.41
2023-02-26,8665.14,0.00,"7.41",7.41
2023-02-27,33310.76,0.00,"7.41",7.41
2023-02-28,36355.05,0.00,"7.41",7.41
2023-03-01,16876.34,0.00,"7.41",7.41
2023-03-02,26675.49,0.00,"7.41",7.41
2023-03-03,14429.42,0.00,"7.41",7.41
2023-03-04,15368.09,0.00,"7.41",7.41
2023-03-05,2284.98,0.00,"7.41",7.41
2023-03-06,38279.38,0.00,"7.41",7.41
2023-03-07,17381.60,0.00,"7.41",7.41
2023-03-08,3739.60,0.00,"7.41",7.41
2023-03-09,39732.45,0.00,"7.41",7.41
2023-03-10,15142.04,0.00,"7.41",7.41
2023-03-11,29723.89,0.00,"7.41",7.41
2023-03-12,23187.69,0.00,"7.41",7.41
2023-03-13,3146.26,0.00,"7.41",7.41
2023-03-14,2945.38,0.00,"7.41",7.41
2023-03-15,27445.88,0.00,"7.41",7.41
2023-03-16,15290.17,0.00,"7.41",7.41
2023-03-17,3915.51,0.00,"7.41",7.41
2023-03-18,2328.25,0.05,"7.33",7.28
2023-03-19,1687.78,0.05,"7.33",7.28
