"日期","0号柴油销量（升）","0号柴油价差","石化站价格","竞争站价格"
2023-01-01,2501.79,0.86,"7.20",6.34
2023-01-02,2922.73,0.86,"7.20",6.34
2023-01-03,6494.18,0.86,"7.20",6.34
2023-01-04,3053.70,1.07,"7.41",6.34
2023-01-05,3989.88,1.07,"7.41",6.34
2023-01-06,5191.91,1.07,"7.41",6.34
2023-01-07,3706.22,1.07,"7.41",6.34
2023-01-08,2097.88,1.07,"7.41",6.34
2023-01-09,3514.56,1.07,"7.41",6.34
2023-01-10,4815.64,1.07,"7.41",6.34
2023-01-11,4614.74,1.07,"7.41",6.34
2023-01-12,3065.83,1.07,"7.41",6.34
2023-01-13,2779.00,1.07,"7.41",6.34
2023-01-14,2112.02,1.07,"7.41",6.34
2023-01-15,2172.21,1.07,"7.41",6.34
2023-01-16,2351.64,1.07,"7.41",6.34
2023-01-17,4525.61,1.07,"7.41",6.34
2023-01-18,2134.08,0.90,"7.24",6.34
2023-01-19,926.11,0.90,"7.24",6.34
2023-01-20,3409.12,0.90,"7.24",6.34
2023-01-21,873.74,0.90,"7.24",6.34
2023-01-22,164.12,0.90,"7.24",6.34
2023-01-23,563.32,0.90,"7.24",6.34
2023-01-24,1565.71,0.90,"7.24",6.34
2023-01-25,1092.57,0.90,"7.24",6.34
2023-01-26,1139.91,0.90,"7.24",6.34
2023-01-27,1713.50,0.90,"7.24",6.34
2023-01-28,1442.82,0.90,"7.24",6.34
2023-01-29,1711.68,0.90,"7.24",6.34
2023-01-30,2520.54,0.90,"7.24",6.34
2023-01-31,4992.00,0.90,"7.24",6.34
2023-02-01,2239.87,0.90,"7.24",6.34
2023-02-02,3199.94,0.90,"7.24",6.34
2023-02-03,6124.63,0.90,"7.24",6.34
2023-02-04,3574.52,1.07,"7.41",6.34
2023-02-05,2604.48,1.07,"7.41",6.34
2023-02-06,1320.44,1.07,"7.41",6.34
2023-02-07,3864.77,1.07,"7.41",6.34
2023-02-08,3482.63,1.07,"7.41",6.34
2023-02-09,2147.12,1.07,"7.41",6.34
2023-02-10,4994.78,1.07,"7.41",6.34
2023-02-11,2466.62,1.07,"7.41",6.34
2023-02-12,2046.49,1.07,"7.41",6.34
2023-02-13,3764.99,1.07,"7.41",6.34
2023-02-14,5335.81,1.07,"7.41",6.34
2023-02-15,3331.69,1.07,"7.41",6.34
2023-02-16,5443.89,1.07,"7.41",6.34
2023-02-17,5728.55,1.07,"7.41",6.34
2023-02-18,3287.02,1.07,"7.41",6.34
2023-02-19,1636.45,1.07,"7.41",6.34
2023-02-20,3178.10,1.07,"7.41",6.34
2023-02-21,5300.10,1.07,"7.41",6.34
2023-02-22,3188.61,1.07,"7.41",6.34
2023-02-23,3139.29,1.07,"7.41",6.34
2023-02-24,4639.73,1.07,"7.41",6.34
