date,date_day,order_cnt,amount,pay_amount,discountAmount,refuelLiters,进站加油车量（汽油）,进站加油车量（柴油）,进站率（汽油）,进站率（柴油）,站前车流量（汽油）,站前车流量（柴油）,path,text_day,text_night,high,low,wc_day,wd_day,wc_night,wd_night,week,holidays,60000361_price,60000361_price_other,60000361_order_cnt,60000361_refuelLiters,60000361_amount,60033428_price,60033428_price_other,60033428_order_cnt,60033428_refuelLiters,60033428_amount,60000359_price,60000359_price_other,60000359_order_cnt,359占比,60000359_refuelLiters,60000359_amount,60000304_price,60000304_price_other,60000304_order_cnt,304占比,60000304_refuelLiters,60000304_amount,60000305_price,60000305_price_other,60000305_order_cnt,305占比,60000305_refuelLiters,60000305_amount,60000312_price,60000312_price_other,60000312_order_cnt,60000312_refuelLiters,60000312_amount,60000313_price,60000313_price_other,60000313_order_cnt,313占比,60000313_refuelLiters,60000313_amount,60000317_price,60000317_price_other,60000317_order_cnt,60000317_refuelLiters,60000317_amount
2023/1/11,2023/1/11,377,198292.18,198292.18,0,26033.95,292,16,8.71,8.38,3354,191,"扬州,扬州市,江苏省,中国",多云,多云,15,6,3~4级,南风,<3级,东南风,星期三,,,,0,,,,,0,,,7.41,"[5.07, 7.41]",56,14.85%,15966.65,118311.53,7.75,"[5.49, 7.55, 7.75]",99,26.26%,2766.1,21799.57,7.75,"[5.49, 7.55, 7.75]",141,37.40%,4095.43,31736.18,,,0,,,8.25,"[5.84, 8.25]",81,21.49%,3205.77,26444.9,,,0,,
2023/1/12,2023/1/12,352,101736.66,101736.66,0,13023.77,244,11,8.19,6.04,2982,181,"扬州,扬州市,江苏省,中国",小雨,小雨,18,10,3~4级,南风,<3级,北风,星期四,,,,0,,,,,0,,,7.41,"[5.07, 7.41]",52,14.77%,3135.03,23229.08,7.75,"[5.49, 7.55, 7.75]",85,24.15%,2365.85,18332.84,7.75,"[5.49, 7.55, 7.75]",125,35.51%,3766.71,29189.16,,,0,,,8.25,"[5.84, 8.25]",90,25.57%,3756.18,30985.58,,,0,,
2023/1/13,2023/1/13,360,106015.41,106015.41,0,13528.74,265,14,7.63,8.14,3470,172,"扬州,扬州市,江苏省,中国",小雨,中雨,18,7,<3级,东风,<3级,东北风,星期五,,,,0,,,,,0,,,7.41,"[5.07, 7.41]",39,10.83%,2931.93,21724.5,7.75,"[5.49, 7.55, 7.75]",77,21.39%,2331.46,18066.88,7.75,"[5.49, 7.55, 7.75]",139,38.61%,3916.33,30347.78,,,0,,,8.25,"[5.84, 8.25]",105,29.17%,4349.02,35876.25,,,0,,
2023/1/14,2023/1/14,340,181870.76,181870.76,0,23921.26,237,11,9.68,9.24,2449,120,"扬州,扬州市,江苏省,中国",雨夹雪,雨夹雪,6,-3,3~4级,北风,<3级,北风,星期六,,,,0,,,,,0,,,7.41,"[5.07, 7.41]",44,12.94%,14472.76,107242.02,7.75,"[5.49, 7.55, 7.75]",115,33.82%,3540.94,27439.88,7.75,"[5.49, 7.55, 7.75]",108,31.76%,3087.15,23922.84,,,0,,,8.25,"[5.84, 8.25]",73,21.47%,2820.41,23266.02,,,0,,
2023/1/15,2023/1/15,355,92661.57,92661.57,0,11802.26,231,10,9.41,8.33,2455,120,"扬州,扬州市,江苏省,中国",多云,多云,0,-6,3~4级,北风,<3级,西北风,星期日,,,,0,,,,,0,,,7.41,"[5.07, 7.41]",20,5.63%,1358.9,10068.85,7.75,"[5.49, 7.55, 7.75]",98,27.61%,2859.11,22155.51,7.75,"[5.49, 7.55, 7.75]",148,41.69%,4251.99,32948.92,,,0,,,8.25,"[5.84, 8.25]",89,25.07%,3332.26,27488.29,,,0,,
2023/1/16,2023/1/16,382,138095.48,138095.48,0,17802.41,234,14,8.74,12.17,2677,116,"扬州,扬州市,江苏省,中国",多云,晴,3,-5,<3级,北风,<3级,西风,星期一,,,,0,,,,,0,,,7.41,"[5.07, 7.41]",33,8.64%,6281.29,46543.63,7.75,"[5.49, 7.55, 7.75]",92,24.08%,2818.39,21840.54,7.75,"[5.49, 7.55, 7.75]",140,36.65%,4158.78,32227.37,,,0,,,8.25,"[5.84, 8.25]",117,30.63%,4543.95,37483.94,,,0,,
2023/1/17,2023/1/17,381,98393.93,98393.93,0,12482.85,249,9,9.48,9.18,2627,98,"扬州,扬州市,江苏省,中国",晴,多云,5,-3,<3级,西风,<3级,西北风,星期二,,,,0,,,,,0,,,7.41,"[5.07, 7.41]",24,6.30%,1204.45,8924.12,7.75,"[5.49, 7.55, 7.75]",90,23.62%,2520.99,19535.43,7.75,"[5.49, 7.55, 7.75]",162,42.52%,4613.56,35750.84,,,0,,,8.25,"[5.84, 8.25]",105,27.56%,4143.85,34183.54,,,0,,
2023/1/18,2023/1/18,464,221094.77,221094.77,0,29398.82,281,9,11.64,13.04,2414,69,"扬州,扬州市,江苏省,中国",多云,多云,7,-1,3~4级,西北风,<3级,西南风,星期三,,,,0,,,,,0,,,7.24,"[5.07, 7.24]",26,5.60%,14092.32,102027.85,7.59,"[5.49, 7.39, 7.59]",108,23.28%,3320.77,25200.87,7.59,"[5.49, 7.39, 7.59]",180,38.79%,5933.71,45030.99,,,0,,,8.07,"[5.84, 8.07]",150,32.33%,6052.02,48835.06,,,0,,
2023/1/19,2023/1/19,413,114445.2,114445.2,0,14872.12,258,9,10.57,18.75,2441,48,"扬州,扬州市,江苏省,中国",晴,晴,11,-1,3~4级,西风,<3级,北风,星期四,,,,0,,,,,0,,,7.24,"[5.07, 7.24]",26,6.30%,1766.51,12788.9,7.59,"[5.49, 7.39, 7.59]",115,27.85%,3631.53,27558.99,7.59,"[5.49, 7.39, 7.59]",161,38.98%,4896.89,37162.28,,,0,,,8.07,"[5.84, 8.07]",111,26.88%,4577.19,36935.03,,,0,,
2023/1/20,2023/1/20,453,120794.68,120794.68,0,15595.91,280,9,12.9,20.93,2171,42,"扬州,扬州市,江苏省,中国",晴,多云,8,-1,3~4级,东北风,<3级,东南风,星期五,,,,0,,,,,0,,,7.24,"[5.07, 7.24]",9,1.99%,554.1,4011.61,7.59,"[5.49, 7.39, 7.59]",144,31.79%,4648.12,35274.81,7.59,"[5.49, 7.39, 7.59]",164,36.20%,4915.82,37305.19,,,0,,,8.07,"[5.84, 8.07]",136,30.02%,5477.87,44203.07,,,0,,
2023/1/21,2023/1/21,410,106686.17,106686.17,0,13766.07,257,3,13.77,15,1866,19,"扬州,扬州市,江苏省,中国",多云,中雨,10,4,3~4级,东南风,<3级,东北风,星期六,,,,0,,,,,0,,,7.24,"[5.07, 7.24]",8,1.95%,497.11,3598.93,7.59,"[5.49, 7.39, 7.59]",123,30.00%,3741.83,28471.66,7.59,"[5.49, 7.39, 7.59]",158,38.54%,4706.05,35712.63,,,0,,,8.07,"[5.84, 8.07]",121,29.51%,4821.08,38902.95,,,0,,
2023/1/22,2023/1/22,105,26396.68,26396.68,0,3398.8,102,2,7.05,10.53,1446,19,"扬州,扬州市,江苏省,中国",多云,多云,7,4,<3级,北风,<3级,北风,星期日,,,,0,,,,,0,,,7.24,"[5.07, 7.24]",1,0.95%,41.44,300,7.59,"[5.49, 7.39, 7.59]",22,20.95%,634.98,4818.57,7.59,"[5.49, 7.39, 7.59]",50,47.62%,1434.74,10887.79,,,0,,,8.07,"[5.84, 8.07]",32,30.48%,1287.64,10390.32,,,0,,
2023/1/23,2023/1/23,173,44405.5,44405.5,0,5739.9,123,3,7.5,17.65,1639,17,"扬州,扬州市,江苏省,中国",阵雨,小雪,9,-5,<3级,东北风,3~4级,北风,星期一,,,,0,,,,,0,,,7.24,"[5.07, 7.24]",2,1.16%,103.87,752.01,7.59,"[5.49, 7.39, 7.59]",38,21.97%,1206.21,9153.81,7.59,"[5.49, 7.39, 7.59]",86,49.71%,2592.85,19676.53,,,0,,,8.07,"[5.84, 8.07]",47,27.17%,1836.97,14823.15,,,0,,
2023/1/24,2023/1/24,216,55870.87,55870.87,0,7222.73,145,5,7.89,29.41,1837,17,"扬州,扬州市,江苏省,中国",多云,晴,-2,-8,3~4级,北风,<3级,东北风,星期二,,,,0,,,,,0,,,7.24,"[5.07, 7.24]",6,2.78%,286.83,2076.53,7.59,"[5.49, 7.39, 7.59]",41,18.98%,1230.04,9334.28,7.59,"[5.49, 7.39, 7.59]",107,49.54%,3292.21,24983.74,,,0,,,8.07,"[5.84, 8.07]",62,28.70%,2413.65,19476.32,,,0,,
2023/1/25,2023/1/25,236,61658.9,61658.9,0,7982.72,157,4,7.89,19.05,1990,21,"扬州,扬州市,江苏省,中国",晴,多云,1,-3,3~4级,南风,<3级,东南风,星期三,,,,0,,,,,0,,,7.24,"[5.07, 7.24]",13,5.51%,646.19,4678,7.59,"[5.49, 7.39, 7.59]",66,27.97%,1985.74,15069.18,7.59,"[5.49, 7.39, 7.59]",90,38.14%,2632.64,19978.18,,,0,,,8.07,"[5.84, 8.07]",67,28.39%,2718.15,21933.54,,,0,,
2023/1/26,2023/1/26,256,62353.87,62353.87,0,8041.96,178,3,7.08,7.69,2515,39,"扬州,扬州市,江苏省,中国",多云,多云,6,-2,3~4级,东北风,<3级,西北风,星期四,,,,0,,,,,0,,,7.24,"[5.07, 7.24]",6,2.34%,353.37,2558.24,7.59,"[5.49, 7.39, 7.59]",69,26.95%,2113.07,16035.52,7.59,"[5.49, 7.39, 7.59]",93,36.33%,2557.48,19407.56,,,0,,,8.07,"[5.84, 8.07]",88,34.38%,3018.04,24352.55,,,0,,
2023/1/27,2023/1/27,295,74750.09,74750.09,0,9637.46,214,8,5.28,8.89,4049,91,"扬州,扬州市,江苏省,中国",多云,晴,3,-5,3~4级,北风,<3级,西北风,星期五,,,,0,,,,,0,,,7.24,"[5.07, 7.24]",8,2.71%,415.21,3005.88,7.59,"[5.49, 7.39, 7.59]",83,28.14%,2325.73,17648.86,7.59,"[5.49, 7.39, 7.59]",111,37.63%,3234.21,24543.2,,,0,,,8.07,"[5.84, 8.07]",93,31.53%,3662.31,29552.15,,,0,,
2023/1/28,2023/1/28,273,71775.45,71775.45,0,9289.31,205,9,7.26,13.04,2822,69,"扬州,扬州市,江苏省,中国",晴,多云,6,-4,3~4级,西风,<3级,西南风,星期六,,,,0,,,,,0,,,7.24,"[5.07, 7.24]",13,4.76%,904.69,6549.54,7.59,"[5.49, 7.39, 7.59]",62,22.71%,1888.4,14331.07,7.59,"[5.49, 7.39, 7.59]",116,42.49%,3172.22,24072.41,,,0,,,8.07,"[5.84, 8.07]",82,30.04%,3324,26822.43,,,0,,
2023/1/29,2023/1/29,309,260185.19,260185.19,0,35252.77,216,4,7.83,5.26,2760,75,"扬州,扬州市,江苏省,中国",多云,多云,11,-5,3~4级,西风,<3级,西北风,星期日,,,,0,,,,,0,,,7.24,"[5.07, 7.24]",34,11.00%,26136.89,189230.52,7.59,"[5.49, 7.39, 7.59]",61,19.74%,1762.29,13373.62,7.59,"[5.49, 7.39, 7.59]",122,39.48%,3656.51,27747.81,,,0,,,8.07,"[5.84, 8.07]",92,29.77%,3697.08,29833.24,,,0,,
2023/1/30,2023/1/30,307,192628.23,192628.23,0,26001.54,189,7,6.94,9.09,2725,77,"扬州,扬州市,江苏省,中国",晴,晴,13,-1,<3级,南风,<3级,南风,星期一,,,,0,,,,,0,,,7.24,"[5.07, 7.24]",31,10.10%,17268.87,125026,7.59,"[5.49, 7.39, 7.59]",74,24.10%,2182.49,16562.86,7.59,"[5.49, 7.39, 7.59]",125,40.72%,3776.52,28658.62,,,0,,,8.07,"[5.84, 8.07]",77,25.08%,2773.66,22380.75,,,0,,
