"日期","销量（升）","石化站价格","竞争站价格","价差"
2023-04-08,4603.22,"7.41",7.36,0.05
2023-04-09,4709.02,"7.41",7.36,0.05
2023-04-10,5398.32,"7.41",7.36,0.05
2023-04-11,5107.96,"7.41",7.36,0.05
2023-04-12,4894.04,"7.41",7.36,0.05
2023-04-13,4389.09,"7.41",7.36,0.05
2023-04-14,5111.73,"7.41",7.36,0.05
2023-04-15,4903.73,"7.41",7.36,0.05
2023-04-16,6633.59,"7.41",7.36,0.05
2023-04-17,7972.92,"7.41",7.36,0.05
2023-04-18,3815.66,"7.85",7.85,0.00
2023-04-19,4373.30,"7.85",7.80,0.05
2023-04-20,4388.36,"7.85",7.80,0.05
2023-04-21,4313.10,"7.85",7.80,0.05
2023-04-22,4571.25,"7.85",7.80,0.05
2023-04-23,4855.39,"7.85",7.80,0.05
2023-04-24,5456.28,"7.85",7.80,0.05
2023-04-25,4859.59,"7.85",7.80,0.05
2023-04-26,5217.01,"7.85",7.80,0.05
2023-04-27,5603.05,"7.85",7.80,0.05
2023-04-28,6303.97,"7.85",7.80,0.05
2023-04-29,8203.46,"7.72",7.67,0.05
2023-04-30,8903.17,"7.72",7.67,0.05
2023-05-01,9871.98,"7.72",7.67,0.05
2023-05-02,11344.29,"7.72",7.67,0.05
2023-05-03,9392.43,"7.72",7.67,0.05
2023-05-04,8004.64,"7.72",7.66,0.06
2023-05-05,6309.50,"7.72",7.66,0.06
2023-05-06,5745.27,"7.72",7.66,0.06
2023-05-07,6079.10,"7.72",7.66,0.06
2023-05-08,5732.60,"7.72",7.66,0.06
2023-05-09,5006.10,"7.72",7.66,0.06
2023-05-10,5964.31,"7.72",7.67,0.05
2023-05-11,4880.17,"7.72",7.67,0.05
2023-05-12,4565.78,"7.72",7.67,0.05
2023-05-13,3762.17,"7.72",7.67,0.05
2023-05-14,5219.41,"7.72",7.67,0.05
2023-05-15,5536.81,"7.72",7.67,0.05
2023-05-16,5026.62,"7.72",7.67,0.05
2023-05-17,5633.14,"7.42",7.37,0.05
2023-05-18,5984.05,"7.42",7.37,0.05
2023-05-19,5773.22,"7.42",7.37,0.05
2023-05-20,4952.81,"7.42",7.37,0.05
2023-05-21,4735.17,"7.42",7.37,0.05
2023-05-22,5453.19,"7.42",7.37,0.05
2023-05-23,4913.84,"7.42",7.37,0.05
2023-05-24,4641.13,"7.42",7.32,0.10
2023-05-25,4771.83,"7.42",7.32,0.10
2023-05-26,5396.78,"7.42",7.32,0.10
2023-05-27,5059.91,"7.42",7.32,0.10
2023-05-28,4772.70,"7.42",7.32,0.10
2023-05-29,5984.74,"7.42",7.32,0.10
2023-05-30,5957.69,"7.42",7.32,0.10
2023-05-31,5010.14,"7.50",7.45,0.05
2023-06-01,5462.14,"7.50",7.45,0.05
2023-06-02,5874.04,"7.50",7.45,0.05
2023-06-03,5345.98,"7.50",7.45,0.05
2023-06-04,5727.91,"7.50",7.45,0.05
2023-06-05,5208.37,"7.50",7.45,0.05
2023-06-06,4914.37,"7.50",7.45,0.05
2023-06-07,4990.41,"7.50",7.40,0.10
2023-06-08,4448.73,"7.50",7.40,0.10
2023-06-09,5415.70,"7.50",7.40,0.10
2023-06-10,6148.23,"7.50",7.40,0.10
2023-06-11,4079.68,"7.50",7.40,0.10
2023-06-12,6294.36,"7.50",7.40,0.10
2023-06-13,5028.04,"7.50",7.40,0.10
2023-06-14,4906.53,"7.46",7.40,0.06
2023-06-15,5376.31,"7.46",7.40,0.06
2023-06-16,5996.06,"7.46",7.40,0.06
2023-06-17,5647.45,"7.46",7.40,0.06
2023-06-18,6002.04,"7.46",7.40,0.06
2023-06-19,5883.35,"7.46",7.40,0.06
2023-06-20,7125.87,"7.46",7.40,0.06
2023-06-21,6523.73,"7.46",7.41,0.05
2023-06-22,8056.73,"7.46",7.41,0.05
2023-06-23,6680.22,"7.46",7.41,0.05
2023-06-24,6265.38,"7.46",7.41,0.05
2023-06-25,6099.26,"7.46",7.41,0.05
2023-06-26,6177.10,"7.46",7.41,0.05
2023-06-27,6310.85,"7.46",7.41,0.05
2023-06-28,6676.34,"7.46",7.41,0.05
2023-06-29,6941.91,"7.51",7.46,0.05
2023-06-30,6501.83,"7.51",7.46,0.05
2023-07-01,5452.52,"7.51",7.46,0.05
2023-07-02,6040.32,"7.51",7.46,0.05
2023-07-03,7709.40,"7.51",7.46,0.05
2023-07-04,5157.70,"7.51",7.46,0.05
2023-07-05,7196.03,"7.51",7.46,0.05
2023-07-06,7150.23,"7.51",7.46,0.05
2023-07-07,6046.64,"7.51",7.46,0.05
2023-07-08,6742.27,"7.51",7.46,0.05
2023-07-09,5916.38,"7.51",7.46,0.05
2023-07-10,6635.65,"7.51",7.46,0.05
2023-07-11,974.70,"7.51",7.46,0.05
2023-07-12,13282.80,"7.51",7.46,0.05
2023-07-13,4795.13,"7.63",7.03,0.60
2023-07-14,11241.59,"7.63",7.03,0.60
2023-07-15,5735.98,"7.63",7.03,0.60
2023-07-16,6757.58,"7.63",7.03,0.60
2023-07-17,6806.41,"7.63",7.03,0.60
2023-07-18,6140.09,"7.63",7.03,0.60
2023-07-19,6939.95,"7.63",7.57,0.06
2023-07-20,5292.09,"7.63",7.57,0.06
2023-07-21,5320.76,"7.63",7.57,0.06
2023-07-22,6292.25,"7.63",7.57,0.06
2023-07-23,6120.97,"7.63",7.57,0.06
2023-07-24,5337.69,"7.63",7.57,0.06
2023-07-25,7698.15,"7.63",7.57,0.06
2023-07-26,7925.55,"7.63",7.57,0.06
2023-07-27,5803.66,"7.85",7.80,0.05
2023-07-28,6364.81,"7.85",7.80,0.05
2023-07-29,5027.78,"7.85",7.80,0.05
2023-07-30,6048.27,"7.85",7.80,0.05
2023-07-31,6060.68,"7.85",7.80,0.05
2023-08-01,5769.28,"7.85",7.80,0.05
2023-08-02,6517.93,"7.85",7.80,0.05
2023-08-03,6738.94,"7.85",7.80,0.05
2023-08-04,6447.86,"7.85",7.80,0.05
2023-08-05,5686.62,"7.85",7.80,0.05
2023-08-06,5750.98,"7.85",7.80,0.05
2023-08-07,8566.08,"7.85",7.80,0.05
2023-08-08,6034.06,"7.85",7.80,0.05
2023-08-09,7483.88,"7.85",7.80,0.05
2023-08-10,6072.58,"8.05",8.00,0.05
2023-08-11,5666.17,"8.05",8.00,0.05
2023-08-12,6021.20,"8.05",8.00,0.05
2023-08-13,6430.44,"8.05",8.00,0.05
2023-08-14,6806.39,"8.05",8.00,0.05
2023-08-15,6850.51,"8.05",8.00,0.05
2023-08-16,6250.00,"8.05",8.00,0.05
2023-08-17,6043.29,"8.05",8.00,0.05
2023-08-18,5940.91,"8.05",8.00,0.05
2023-08-19,4917.17,"8.05",8.00,0.05
2023-08-20,5878.89,"8.05",8.00,0.05
2023-08-21,6293.20,"8.05",8.00,0.05
2023-08-22,7797.68,"8.05",8.00,0.05
2023-08-23,6090.70,"8.05",8.00,0.05
2023-08-24,6418.34,"8.09",8.00,0.09
2023-08-25,5396.82,"8.09",8.00,0.09
2023-08-26,5703.05,"8.09",8.00,0.09
2023-08-27,6062.33,"8.09",8.00,0.09
2023-08-28,10380.90,"8.09",8.00,0.09
2023-08-29,6283.03,"8.09",8.00,0.09
2023-08-30,5740.57,"8.09",8.04,0.05
2023-08-31,6002.60,"8.09",8.04,0.05
2023-09-01,5899.68,"8.09",8.04,0.05
2023-09-02,5282.83,"8.09",8.04,0.05
2023-09-03,5611.66,"8.09",8.04,0.05
2023-09-04,5335.32,"8.09",8.04,0.05
2023-09-05,5682.11,"8.09",8.04,0.05
2023-09-06,3281.28,"8.09",8.04,0.05
2023-09-07,4929.69,"8.09",8.04,0.05
2023-09-08,6107.35,"8.09",8.04,0.05
2023-09-09,4537.75,"8.09",8.04,0.05
2023-09-10,5698.64,"8.09",8.04,0.05
2023-09-11,4875.60,"8.09",8.04,0.05
2023-09-12,5033.32,"8.09",8.04,0.05
2023-09-13,6082.50,"8.09",8.04,0.05
2023-09-14,5130.52,"8.09",8.04,0.05
2023-09-15,5408.70,"8.09",8.04,0.05
2023-09-16,4843.03,"8.09",8.04,0.05
2023-09-17,5888.61,"8.09",8.04,0.05
2023-09-18,5431.38,"8.09",8.04,0.05
2023-09-19,7509.36,"8.09",8.04,0.05
2023-09-20,7554.55,"8.09",8.04,0.05
2023-09-21,4543.97,"8.40",8.35,0.05
2023-09-22,4934.10,"8.40",8.30,0.10
2023-09-23,5405.51,"8.40",8.30,0.10
2023-09-24,5850.42,"8.40",8.30,0.10
2023-09-25,5767.25,"8.40",8.30,0.10
2023-09-26,6157.28,"8.40",8.30,0.10
2023-09-27,6369.16,"8.40",8.35,0.05
2023-09-28,10529.09,"8.40",8.35,0.05
2023-09-29,7022.12,"8.40",8.35,0.05
2023-09-30,9181.10,"8.40",8.35,0.05
2023-10-01,9595.56,"8.40",8.35,0.05
2023-10-02,10225.42,"8.40",8.35,0.05
2023-10-03,10615.86,"8.40",8.35,0.05
2023-10-04,10745.32,"8.40",8.35,0.05
2023-10-05,7959.19,"8.40",8.35,0.05
2023-10-06,6211.28,"8.40",8.35,0.05
2023-10-07,5942.27,"8.40",8.35,0.05
2023-10-08,5020.14,"8.40",8.35,0.05
2023-10-09,4984.35,"8.40",8.35,0.05
2023-10-10,4617.93,"8.40",8.35,0.05
2023-10-11,4973.13,"8.33",8.28,0.05
2023-10-12,4993.50,"8.33",8.28,0.05
2023-10-13,4595.80,"8.33",8.28,0.05
2023-10-14,4458.86,"8.33",8.28,0.05
2023-10-15,4061.57,"8.33",8.28,0.05
2023-10-16,5058.91,"8.33",8.28,0.05
2023-10-17,4513.77,"8.33",8.28,0.05
2023-10-18,4402.26,"8.33",8.28,0.05
2023-10-19,5219.19,"8.33",8.28,0.05
2023-10-20,5162.30,"8.33",8.28,0.05
2023-10-21,4028.50,"8.33",8.28,0.05
2023-10-22,4104.92,"8.33",8.28,0.05
2023-10-23,5031.06,"8.33",8.28,0.05
2023-10-24,4956.65,"8.33",8.28,0.05
2023-10-25,5372.70,"8.27",8.22,0.05
2023-10-26,4651.47,"8.27",8.22,0.05
2023-10-27,4761.32,"8.27",8.22,0.05
2023-10-28,4299.11,"8.27",8.22,0.05
2023-10-29,4943.07,"8.27",8.22,0.05
2023-10-30,4599.20,"8.27",8.22,0.05
2023-10-31,4625.38,"8.27",8.22,0.05
2023-11-01,4762.08,"8.27",8.22,0.05
2023-11-02,4815.39,"8.27",8.22,0.05
2023-11-03,4722.17,"8.27",8.22,0.05
2023-11-04,4559.86,"8.27",8.22,0.05
2023-11-05,5249.39,"8.27",8.22,0.05
2023-11-06,5484.05,"8.27",8.22,0.05
2023-11-07,5148.57,"8.27",8.22,0.05
2023-11-08,5188.18,"8.16",8.11,0.05
2023-11-09,5371.86,"8.16",8.11,0.05
2023-11-10,5647.30,"8.16",8.11,0.05
2023-11-11,6003.72,"8.16",8.11,0.05
2023-11-12,5926.83,"8.16",8.11,0.05
2023-11-13,5264.44,"8.16",8.11,0.05
2023-11-14,5846.50,"8.16",8.11,0.05
2023-11-15,6174.94,"8.16",8.11,0.05
2023-11-16,5630.95,"8.16",8.11,0.05
2023-11-17,5146.21,"8.16",8.11,0.05
2023-11-18,5028.76,"8.16",8.11,0.05
2023-11-19,5484.34,"8.16",8.11,0.05
2023-11-20,5057.24,"8.16",8.11,0.05
2023-11-21,4718.60,"8.16",8.11,0.05
2023-11-22,5868.90,"7.89",7.84,0.05
2023-11-23,5523.95,"7.89",7.84,0.05
2023-11-24,5866.35,"7.89",7.84,0.05
2023-11-25,5760.33,"7.89",7.84,0.05
2023-11-26,5256.77,"7.89",7.84,0.05
2023-11-27,6181.89,"7.89",7.84,0.05
2023-11-28,4858.65,"7.89",7.84,0.05
2023-11-29,5764.58,"7.89",7.84,0.05
2023-11-30,5578.14,"7.89",7.84,0.05
2023-12-01,6211.00,"7.89",7.84,0.05
2023-12-02,5451.67,"7.89",7.84,0.05
2023-12-03,5672.64,"7.89",7.84,0.05
2023-12-04,5000.78,"7.89",7.84,0.05
2023-12-05,5526.41,"7.89",7.84,0.05
2023-12-06,5122.55,"7.85",7.80,0.05
2023-12-07,5614.15,"7.85",7.80,0.05
2023-12-08,5753.43,"7.85",7.80,0.05
2023-12-09,4454.44,"7.85",7.80,0.05
2023-12-10,5058.94,"7.85",7.80,0.05
2023-12-11,6535.88,"7.85",7.80,0.05
2023-12-12,6181.28,"7.85",7.80,0.05
2023-12-13,5594.09,"7.85",7.80,0.05
2023-12-14,6191.10,"7.85",7.80,0.05
2023-12-15,7463.35,"7.85",7.80,0.05
2023-12-16,6473.90,"7.85",7.80,0.05
2023-12-17,6160.72,"7.85",7.80,0.05
2023-12-18,7041.72,"7.85",7.80,0.05
2023-12-19,5719.88,"7.85",7.80,0.05
2023-12-20,7549.64,"7.51",7.46,0.05
2023-12-21,7390.28,"7.51",7.46,0.05
2023-12-22,7506.76,"7.51",7.46,0.05
2023-12-23,6705.29,"7.51",7.46,0.05
2023-12-24,6780.03,"7.51",7.46,0.05
2023-12-25,6724.18,"7.51",7.46,0.05
2023-12-26,5799.29,"7.51",7.46,0.05
2023-12-27,5835.73,"7.51",7.46,0.05
2023-12-28,5688.61,"7.51",7.46,0.05
2023-12-29,5673.03,"7.51",7.46,0.05
2023-12-30,5904.10,"7.51",7.46,0.05
2023-12-31,7070.42,"7.51",7.46,0.05
