"日期","销量（升）","石化站价格","竞争站价格","价差"
2023-01-01,4744.42,,,
2023-01-02,6498.66,,,
2023-01-03,6636.14,,,
2023-01-04,5057.45,"7.75",,
2023-01-05,5662.05,"7.75",7.70,0.05
2023-01-06,4796.63,"7.75",7.70,0.05
2023-01-07,5567.50,"7.75",7.70,0.05
2023-01-08,5483.88,"7.75",7.70,0.05
2023-01-09,6021.28,"7.75",7.70,0.05
2023-01-10,6621.11,"7.75",7.70,0.05
2023-01-11,8827.63,"7.75",7.70,0.05
2023-01-12,5058.33,"7.75",7.70,0.05
2023-01-13,7284.98,"7.75",7.70,0.05
2023-01-14,9741.29,"7.75",7.70,0.05
2023-01-15,7554.80,"7.75",7.70,0.05
2023-01-16,9189.13,"7.75",7.70,0.05
2023-01-17,13623.08,"7.75",7.70,0.05
2023-01-18,12207.19,"7.59",7.54,0.05
2023-01-19,13488.96,"7.59",7.54,0.05
2023-01-20,15879.42,"7.59",7.54,0.05
2023-01-21,10813.02,"7.59",7.54,0.05
2023-01-22,3055.52,"7.59",7.54,0.05
2023-01-23,8875.71,"7.59",7.54,0.05
2023-01-24,10375.45,"7.59",7.54,0.05
2023-01-25,12051.62,"7.59",7.54,0.05
2023-01-26,12607.38,"7.59",7.54,0.05
2023-01-27,13666.10,"7.59",7.54,0.05
2023-01-28,8048.88,"7.59",7.54,0.05
2023-01-29,9618.63,"7.59",7.54,0.05
2023-01-30,8622.54,"7.59",7.54,0.05
2023-01-31,7246.11,"7.59",7.54,0.05
2023-02-01,7170.49,"7.59",7.54,0.05
2023-02-02,7163.92,"7.59",7.54,0.05
2023-02-03,8910.89,"7.59",7.54,0.05
2023-02-04,5070.32,"7.76",7.26,0.50
2023-02-05,5068.99,"7.76",7.26,0.50
2023-02-06,7391.26,"7.76",7.26,0.50
2023-02-07,5757.33,"7.76",7.26,0.50
2023-02-08,7391.68,"7.76",7.70,0.06
2023-02-09,5317.85,"7.76",7.70,0.06
2023-02-10,5594.18,"7.76",7.70,0.06
2023-02-11,5462.34,"7.76",7.70,0.06
2023-02-12,6606.96,"7.76",7.70,0.06
2023-02-13,6975.21,"7.76",7.70,0.06
2023-02-14,6477.73,"7.76",7.70,0.06
2023-02-15,5855.69,"7.76",7.71,0.05
2023-02-16,5705.50,"7.76",7.71,0.05
2023-02-17,6161.05,"7.76",7.71,0.05
2023-02-18,4294.38,"7.76",7.71,0.05
2023-02-19,6047.96,"7.76",7.71,0.05
2023-02-20,5724.74,"7.76",7.71,0.05
2023-02-21,5730.86,"7.76",7.71,0.05
2023-02-22,5174.56,"7.76",7.71,0.05
2023-02-23,5275.18,"7.76",7.71,0.05
2023-02-24,6109.85,"7.76",7.71,0.05
2023-02-25,5765.09,"7.76",7.71,0.05
2023-02-26,6400.26,"7.76",7.71,0.05
2023-02-27,5452.43,"7.76",7.71,0.05
2023-02-28,5781.20,"7.76",7.71,0.05
2023-03-01,5780.25,"7.76",7.70,0.06
2023-03-02,5001.65,"7.76",7.70,0.06
2023-03-03,6406.52,"7.76",7.70,0.06
2023-03-04,5126.39,"7.76",7.70,0.06
2023-03-05,5575.17,"7.76",7.70,0.06
2023-03-06,5632.76,"7.76",7.70,0.06
2023-03-07,4730.52,"7.76",7.70,0.06
2023-03-08,5281.20,"7.76",7.71,0.05
2023-03-09,5416.77,"7.76",7.71,0.05
2023-03-10,4273.66,"7.76",7.71,0.05
2023-03-11,4892.97,"7.76",7.71,0.05
2023-03-12,5534.78,"7.76",7.71,0.05
2023-03-13,5014.25,"7.76",7.71,0.05
2023-03-14,4454.29,"7.76",7.71,0.05
2023-03-15,5535.23,"7.76",7.71,0.05
2023-03-16,5593.87,"7.76",7.71,0.05
2023-03-17,5984.44,"7.76",7.71,0.05
2023-03-18,5136.69,"7.68",7.62,0.06
2023-03-19,4688.07,"7.68",7.62,0.06
2023-03-20,5694.79,"7.68",7.62,0.06
2023-03-21,5459.23,"7.68",7.62,0.06
2023-03-22,5759.97,"7.68",7.63,0.05
2023-03-23,5696.77,"7.68",7.63,0.05
2023-03-24,5893.20,"7.68",7.63,0.05
2023-03-25,5423.61,"7.68",7.63,0.05
2023-03-26,4857.30,"7.68",7.63,0.05
2023-03-27,5571.62,"7.68",7.63,0.05
2023-03-28,4838.75,"7.68",7.63,0.05
2023-03-29,4354.67,"7.68",7.63,0.05
2023-03-30,5416.24,"7.68",7.63,0.05
2023-03-31,5090.94,"7.68",7.63,0.05
2023-04-01,5825.89,"7.41",6.81,0.60
2023-04-02,5137.82,"7.41",6.81,0.60
2023-04-03,6181.02,"7.41",6.81,0.60
2023-04-04,6600.35,"7.41",7.36,0.05
2023-04-05,5950.09,"7.41",7.36,0.05
2023-04-06,5820.82,"7.41",7.36,0.05
2023-04-07,5974.35,"7.41",7.36,0.05
